"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,527.967,,
"NLD","Netherlands","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,517.738,,
"NLD","Netherlands","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,523.622,,
"NLD","Netherlands","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,520.415,,
"NOR","Norway","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,481.284,,
"NOR","Norway","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,527.771,,
"NOR","Norway","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,490.399,,
"NOR","Norway","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,488.293,,
"NOR","Norway","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,492.792,,
"NOR","Norway","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,496.346,,
"POL","Poland","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,496.706,,
"POL","Poland","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,538.687,,
"POL","Poland","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,519.564,,
"POL","Poland","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,515.533,,
"POL","Poland","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,524.421,,
"POL","Poland","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,527.149,,
"PRT","Portugal","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,468.39,,
"PRT","Portugal","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,507.562,,
"PRT","Portugal","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,492.703,,
"PRT","Portugal","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,481.296,,
"PRT","Portugal","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,488.346,,
"PRT","Portugal","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,490.224,,
"SVK","Slovak Republic","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,444.081,,
"SVK","Slovak Republic","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,483.303,,
"SVK","Slovak Republic","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,486.134,,
"SVK","Slovak Republic","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,476.712,,
"SVK","Slovak Republic","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,474.658,,
"SVK","Slovak Republic","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,467.385,,
"ESP","Spain","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,473.806,,
"ESP","Spain","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,502.511,,
"ESP","Spain","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,492.422,,
"ESP","Spain","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,475.965,,
"ESP","Spain","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,500.119,,
"ESP","Spain","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,492.658,,
"SWE","Sweden","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,457.991,,
"SWE","Sweden","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,509.135,,
"SWE","Sweden","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,476.916,,
"SWE","Sweden","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,479.629,,
"SWE","Sweden","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,481.151,,
"SWE","Sweden","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,488.513,,
"CHE","Switzerland","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,491.074,,
"CHE","Switzerland","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,527.064,,
"CHE","Switzerland","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,537.369,,
"CHE","Switzerland","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,524.473,,
"CHE","Switzerland","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,518.255,,
"CHE","Switzerland","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,512.331,,
"TUR","Turkey","EDU_10_READ","PISA scores, Reading","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,452.843,,
"TUR","Turkey","EDU_10_READ","PISA scores, Reading","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,498.64,,
"TUR","Turkey","EDU_10_MATH","PISA scores, Mathematics","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,451.934,,
"TUR","Turkey","EDU_10_MATH","PISA scores, Mathematics","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,443.948,,
"TUR","Turkey","EDU_10_SCI","PISA scores, Science","BOYS","Boys","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,458.316,,
"TUR","Turkey","EDU_10_SCI","PISA scores, Science","GIRLS","Girls","TOTAL","Total","2012","2012","AVSCORE","Average score","0","Units",,,468.622,,
